accordion-checkbox	div	content
accordion-link	a	links
accordion-list	ol	lists
accordion-list-item	li	lists
accordion-nav	nav	navigation
action-bar	div	navigation
action-bar-button	button	navigation
action-group	div	forms
action-link	a	links
address-input	input	forms
addressograph-box	div	content
affix	div	content
ai-label	span	content
alba-community-health-index-input	input	national
alba-community-health-index-view	span	national
alert	div	content
alert-dialog	dialog	overlays
angle-slider-range-input	input	forms
announcement-banner	div	overlays
answer	div	content
area-chart	figure	data-viz
article-layout	article	navigation
aspect-ratio-container	div	content
australia-individual-healthcare-identifier-input	input	national
australia-individual-healthcare-identifier-view	span	national
autosuggest	div	content
avatar	div	content
avatar-group	div	forms
avatar-image	img	media
avatar-text	span	content
back-link	a	links
badge	span	content
banner	div	overlays
banner-box	div	content
bar-chart	figure	data-viz
barcode-image	img	media
beach-ball	div	content
belgique-numero-de-registre-national-input	input	national
belgique-numero-de-registre-national-view	span	national
blockquote	blockquote	content
body-text	div	content
breadcrumb-link	a	links
breadcrumb-list	ol	lists
breadcrumb-list-item	li	lists
breadcrumb-nav	nav	navigation
bulgaria-edinen-grazhdanski-nomer-input	input	national
bulgaria-edinen-grazhdanski-nomer-view	span	national
button	button	buttons
button-group	div	forms
button-input	input	forms
byline	div	content
calendar-range-picker	div	pickers
calendar-table	table	tables
calendar-table-body	tbody	tables
calendar-table-foot	tfoot	tables
calendar-table-head	thead	tables
calendar-table-row	tr	tables
calendar-table-td	td	tables
calendar-table-th	th	tables
call-to-action	div	content
caption	caption	tables
card	div	content
care-card	div	content
carousel	div	content
cascader	div	content
cesko-cestovni-pas-input	input	national
cesko-cestovni-pas-view	span	national
cesko-rodne-cislo-input	input	national
cesko-rodne-cislo-view	span	national
character	span	content
character-counter	span	content
chat-list	ol	lists
chat-list-item	li	lists
chat-message	article	navigation
chat-nav	nav	navigation
check-list	ol	lists
check-list-item	li	lists
checkbox-group	div	forms
checkbox-input	input	forms
citation	cite	content
clamp-text	div	content
clipboard-copy-button	button	buttons
coachmark	div	overlays
code	code	content
code-block	pre	content
collapsible	div	content
collection-list	ul	lists
collection-list-item	li	lists
color-input	input	forms
color-picker	div	pickers
color-picker-button	button	pickers
column-chart	figure	data-viz
combobox	div	content
command	div	content
comment	div	content
container	div	content
container-with-fixed-width	div	content
container-with-fluid-width	div	content
content-block	div	content
contents-link	a	links
contents-list	ol	lists
contents-list-item	li	lists
contents-nav	nav	navigation
context-menu	div	navigation
context-menu-item	div	navigation
contextual-help	div	overlays
currency-input	input	forms
cymru-rhif-y-gwasanaeth-iechyd-gwladol-input	input	national
cymru-rhif-y-gwasanaeth-iechyd-gwladol-view	span	national
cyprus-national-passport-number-input	input	national
cyprus-national-passport-number-view	span	national
danmark-personnummer-input	input	national
danmark-personnummer-view	span	national
data-filter-form	form	forms
data-table	table	tables
data-table-body	tbody	tables
data-table-foot	tfoot	tables
data-table-head	thead	tables
data-table-row	tr	tables
data-table-td	td	tables
data-table-th	th	tables
date-field	div	content
date-input	input	forms
date-range	span	content
date-time-local-input	input	forms
date-time-now-input	div	content
date-time-view	time	content
description-list	dl	lists
description-list-item	div	content
details	details	navigation
deutschland-krankenversichertennummer-input	input	national
deutschland-krankenversichertennummer-view	span	national
dial	div	content
dial-group	div	forms
dialog	dialog	overlays
diff	div	content
digital-object-identifier-link	a	links
do-list	ol	lists
do-list-item	li	lists
document-list	ol	lists
document-list-item	li	lists
dont-list	ol	lists
dont-list-item	li	lists
download-button	a	links
draft	div	content
drawer	div	content
dropdown-menu	div	navigation
editable	div	content
editable-form	form	forms
eesti-isikukood-input	input	national
eesti-isikukood-view	span	national
ellada-dematerialised-securities-system-input	input	national
ellada-dematerialised-securities-system-view	span	national
email-input	input	forms
email-link	a	links
emoji	span	content
emoji-character-picker	div	pickers
end-notes	section	navigation
england-national-health-service-number-input	input	national
england-national-health-service-number-view	span	national
error-message	span	content
error-summary	div	content
espana-codigo-de-identificacion-fiscal-input	input	national
espana-codigo-de-identificacion-fiscal-view	span	national
espana-tarjeta-sanitaria-individual-input	input	national
espana-tarjeta-sanitaria-individual-view	span	national
event	article	navigation
expander	div	content
feature-card	article	navigation
feature-photo	figure	media
field	div	content
fieldset	fieldset	forms
figure	figure	media
file-dialog	dialog	overlays
file-input	input	forms
file-manager	div	content
file-upload	div	content
five-face-rating-picker	div	pickers
five-face-rating-picker-button	button	pickers
five-face-rating-view	div	content
five-star-rating-picker	div	pickers
five-star-rating-picker-button	button	pickers
five-star-rating-view	div	content
flair	span	content
flex-stack	div	content
float-button	button	buttons
floating-panel	div	content
footer	footer	navigation
footnote	span	content
form	form	forms
framer	div	content
france-numero-d-identification-au-repertoire-input	input	national
france-numero-d-identification-au-repertoire-view	span	national
gantt-table	table	tables
gantt-table-tbody	tbody	tables
gantt-table-td	td	tables
gantt-table-tfoot	tfoot	tables
gantt-table-th	th	tables
gantt-table-thead	thead	tables
gantt-table-tr	tr	tables
go-to-next-section	a	links
go-to-previous-section	a	links
go-to-top	a	links
government-banner	aside	overlays
government-identifier	section	navigation
grail-layout	div	content
grail-layout-bottom-footer	footer	navigation
grail-layout-center-main	main	navigation
grail-layout-left-aside	aside	navigation
grail-layout-right-aside	aside	navigation
grail-layout-top-header	header	navigation
graphic-block	figure	media
grid	div	content
hamburger-menu	button	navigation
header	header	navigation
headline	div	content
hero	section	navigation
hero-headline	div	content
hidden-input	input	forms
hint	span	content
horizontal-scroller	div	content
hover-card	div	content
hrvatska-osobni-identifikacijski-broj-input	input	national
hrvatska-osobni-identifikacijski-broj-view	span	national
icon	span	content
icon-button	button	buttons
icon-list	ul	lists
icon-list-item	li	lists
image	img	media
image-cropper	div	content
image-file-input	input	forms
image-input	input	forms
info-state	section	navigation
information-callout	div	content
input	input	forms
input-group	div	forms
input-with-mask	div	content
inset-text	div	content
ireland-individual-health-identifier-input	input	national
ireland-individual-health-identifier-view	span	national
island-kennitala-input	input	national
island-kennitala-view	span	national
italia-codice-fiscale-input	input	national
italia-codice-fiscale-view	span	national
